accuracy,precision,recall,f1_score,cross_entropy,training_time
0.5061,0.5104298617437973,0.5061,0.4971581760384713,1.4159140479616592,693.9770562648773
epoch,avg_loss,accuracy
0,2.07301516892354,0.3433
1,1.905465896119782,0.3862
2,1.851908795795766,0.4004
3,1.8186771591411133,0.4117
4,1.7831437470721374,0.4293
5,1.759450184784859,0.4327
6,1.7347583092762324,0.4399
7,1.7231722119904693,0.4491
8,1.7096631288903903,0.4542
9,1.6906710851203366,0.4623
10,1.6825154078595095,0.4666
11,1.6704826164720266,0.4675
12,1.660563724365706,0.473
13,1.6497743201259434,0.4729
14,1.6494025327903132,0.4754
15,1.6381911211955944,0.4755
16,1.6336107765759327,0.4814
17,1.6326056975987413,0.4749
18,1.6248841456205656,0.4809
19,1.6186251241034038,0.4833
20,1.6183239524023287,0.485
21,1.6131501346551904,0.4843
22,1.6108736479586354,0.4855
23,1.6096664819520174,0.4895
24,1.6050879089101773,0.4885
25,1.6026805779366964,0.492
26,1.6006619270939981,0.4903
27,1.597921477124866,0.4926
28,1.5950422506161153,0.4874
29,1.591382911420447,0.4901
30,1.5908434443969879,0.4885
31,1.5916530391910058,0.491
32,1.5820354128814642,0.4949
33,1.5837058055137616,0.4915
34,1.5857313491417937,0.4911
35,1.5869412090946888,0.4963
36,1.5793334270783235,0.4918
37,1.5789948310933466,0.4971
38,1.584230741601049,0.4907
39,1.577229096386716,0.4929
40,1.5786761302087493,0.4976
41,1.5767442326393493,0.4946
42,1.5739572912121116,0.4952
43,1.5745253459907897,0.4956
44,1.573936332914551,0.4952
45,1.5752911357426664,0.4965
46,1.5748129091938683,0.4976
47,1.5646701839278085,0.4987
48,1.571544329590132,0.4995
49,1.569614731616667,0.496
50,1.5717793590663245,0.4998
51,1.566925356372717,0.5004
52,1.569095111658134,0.4954
53,1.5670555947079354,0.5006
54,1.5650135815093573,0.4974
55,1.5682745946491634,0.4991
56,1.5658743534404869,0.5009
57,1.5654020554105812,0.5018
58,1.5664715864203982,0.5002
59,1.5670270044507948,0.5039
60,1.5681246638401392,0.4999
61,1.566203396408664,0.499
62,1.5640955867046782,0.4969
63,1.5636524536144116,0.5015
64,1.5616714816111115,0.5016
65,1.5594559151342045,0.4998
66,1.5607887543786325,0.4963
67,1.5589684758351023,0.5006
68,1.5566747793478042,0.4975
69,1.5612016112652094,0.5014
70,1.5594883073440817,0.5004
71,1.5617069697395083,0.5007
72,1.5584925591887624,0.4985
73,1.5646678607035769,0.4965
74,1.5578385878600165,0.5033
75,1.5617566391557844,0.5009
76,1.559696608858358,0.5026
77,1.5583564056982284,0.4998
78,1.5601545479609293,0.4993
79,1.5591864992393505,0.501
80,1.5553208396738079,0.4994
81,1.5579097286964734,0.4985
82,1.5582061374187879,0.4988
83,1.5558716287889303,0.5
84,1.5573998107177875,0.4957
85,1.5616411954200433,0.4982
86,1.552267220248111,0.5007
87,1.5498827910589723,0.5001
88,1.553818428005889,0.4996
89,1.5561374808764228,0.4931
90,1.5569147617570522,0.5014
91,1.5571381813885556,0.4994
92,1.5540837907416658,0.5034
93,1.5540898616725838,0.4997
94,1.5555163023489909,0.5019
95,1.5547861927819662,0.4994
96,1.5531774820225765,0.5008
97,1.551001363361357,0.4982
98,1.55329563897785,0.4979
99,1.5579701329599194,0.5061
