accuracy,precision,recall,f1_score,cross_entropy,training_time
0.2629,0.3289687266947321,0.2629,0.227617975212915,1.9917643904892774,356.1305320262909
epoch,avg_loss,accuracy
0,2.154586373821137,0.2272
1,2.094043937125677,0.2275
2,2.0744541501858795,0.2362
3,2.06661303861794,0.2311
4,2.0611646764708387,0.2225
5,2.0557191844003215,0.2553
6,2.0535433936505885,0.2478
7,2.061381730067649,0.2284
8,2.0534157727433433,0.2465
9,2.057428085622162,0.249
10,2.0492870023445158,0.2305
11,2.0544242571154268,0.2631
12,2.0545597988206357,0.2388
13,2.056666913050673,0.2581
14,2.0548549575810537,0.246
15,2.0457912593688903,0.2468
16,2.041936746574964,0.2572
17,2.0486841699980425,0.2504
18,2.051856859034863,0.2569
19,2.0488554455162267,0.2606
20,2.0451706872558746,0.2515
21,2.044462792808633,0.2609
22,2.045307422188753,0.2634
23,2.0413654174843714,0.2602
24,2.040298394479512,0.2225
25,2.039448897139509,0.2481
26,2.0397869275733456,0.2488
27,2.034463770823219,0.2565
28,2.031505864684795,0.2537
29,2.034682329813618,0.2622
30,2.0376336209719415,0.2718
31,2.0391612632382627,0.2572
32,2.033930514114578,0.2638
33,2.034075102477226,0.2463
34,2.0301782486538382,0.2546
35,2.0289279235617053,0.2514
36,2.037829753597066,0.2722
37,2.029913150137551,0.2619
38,2.038558528687482,0.2655
39,2.0360249426728756,0.2445
40,2.0305285796631374,0.255
41,2.0281668474361316,0.2697
42,2.0304262081288393,0.2682
43,2.028482065610181,0.2435
44,2.0304295862729265,0.2698
45,2.031310264099988,0.2671
46,2.03033569980175,0.2452
47,2.028724687155544,0.2715
48,2.0293519266034123,0.2597
49,2.0237229925038007,0.2629
